"","gene_id","S00CWT11","S00D1D11","S00D2B11","S00D3911","S00D4711","S00D5511","S00XUN11"
"54986","ENSG00000273908.1",0,0,0.85,0,4.57,0,0
"54987","ENSG00000273910.1",0,0,0,0,0,0,0
"54988","ENSG00000273912.1",0,0,0,0,0,0,0
"54989","ENSG00000273913.1",0,0,0,0,0,0,0
"54990","ENSG00000273915.1",0,0,0,0,0,0,0
"54991","ENSG00000273917.1",0,0,0,0,0,0,0
"54992","ENSG00000273919.1",0,0,0,0,0,0,0
"54993","ENSG00000273920.1",2,2,1,0,1,4,2
"54994","ENSG00000273923.1",0,0,0,0,0,0,0
"54995","ENSG00000273925.1",0,0,0,1,0,1,0
"54996","ENSG00000273926.1",0,0,0,0,0,0,0
"54997","ENSG00000273927.1",0,0,0,0,0,0,0
"54998","ENSG00000273930.1",0,0,0,0,0,0,0
"54999","ENSG00000273932.1",0,0,0,0,0,0,0
"55000","ENSG00000273933.1",0,0,0,0,0,0,0
"55001","ENSG00000273939.1",0,0,0,0,0,0,0
"55002","ENSG00000273940.1",1,0,0,1.5,18.5,17,5
"55003","ENSG00000273941.1",0,0,0,0,0,0,0
"55004","ENSG00000273942.1",0,0,0,0,0,0,0
"55005","ENSG00000273945.1",0,0,0,0,0,0,0
"55006","ENSG00000273946.1",0,0,0,0,0,0,0
"55007","ENSG00000273948.1",0,0,0,0,0,0,0
"55008","ENSG00000273949.1",0,0,0,0,0,0,0
"55009","ENSG00000273950.1",0,0,0,0,0,0,0
"55010","ENSG00000273951.1",73,43,68,73,32,17,21
"55011","ENSG00000273952.1",0,0,0,0,0,0,0
"55012","ENSG00000273956.1",0,0,0,0,0,0,0
"55013","ENSG00000273957.1",0,0,0,0,0,0,0
"55014","ENSG00000273958.1",5,1,1,1,3,7,0
"55015","ENSG00000273960.1",0,0,0,0,0,0,0
"55016","ENSG00000273961.1",0,0,0,0,0,0,0
"55017","ENSG00000273962.1",0.5,0,0,0,0.5,0,0
"55018","ENSG00000273963.1",0,0,0,0,0,0,0
"55019","ENSG00000273964.1",0,0,0,0,0,0,0
"55020","ENSG00000273965.1",0,0,0,0,0,0,0
"55021","ENSG00000273966.1",0,0,0,0,0,0,0
"55022","ENSG00000273971.1",0,1,0,0,0,0,0
"55023","ENSG00000273972.1",15,38,21,26,25,28,10
"55024","ENSG00000273973.1",2,3,1,0,1,0,9
"55025","ENSG00000273974.1",0,0,0,0,0,0,0
